feature	Campylobacter	Clostridium	Desulfovibrio	Enterococcus	Escherichia.Shigella	Helicobacter	Staphylococcus	Streptococcus	Treponema
Li49683-2023089-RT	5.40187662876881	4.37851981971018	2.44078298955084	-0.124166367910699	3.41732958077056	4.19282779649233	-3.42000323391503	4.10455799237033	5.69327542521802
Li49689-023055-RT	5.91043647784066	2.25741974488763	4.36659935341094	-3.60621143071047	-0.77299808665425	5.34962371350849	-3.60621143071047	1.8991201052219	5.72333318874419
Li49747-023037-RT	6.73218676750315	4.21255260625365	5.34975058586374	0.805380598902608	2.29055384103973	7.81840650186199	0.849343722323725	3.03575738355573	5.95977569550841
Li49750-023030-RT	4.89987606354019	0.274002146342727	3.51110171016738	0.0565892697375023	1.50182616649084	4.12951561458602	4.62539181155472	3.13521731994744	3.00777237337932
Li49757-023003-RT	5.8075581529581	1.35370789931137	3.43812280825826	1.69545719303343	2.43893566694473	3.60604878006729	0.305106031217923	4.29664627795613	5.54340580711597
Li49758-023028-RT	4.69932892989302	0.411012193656986	3.26003133788439	-0.719348793325704	2.20796647976215	5.53800976151884	-0.626975473194689	2.85335922902619	4.913826604489
Li49759-023010-RT	3.3450108320656	4.38225417435741	2.1038086859713	-1.55116921646695	4.23811114475082	4.63297967447053	-2.36209943268328	3.5086089132889	4.91566647342262
Li49760-023041-RT	5.74025753413164	1.47479558419853	4.18577190297013	-2.18876606193111	2.40779574952038	5.33633468419468	-1.56972685352489	3.65436419067105	5.73142095233114
Li49762-023034-RT	4.64181912444793	1.30012352227627	3.1245039096736	4.41072592526152	2.17471927834383	8.01371568133223	-0.26327045165642	4.3188869600226	2.79543662105896
Li49767-023018-RT	4.56547359152178	5.3152802377982	1.47094073322369	-0.950907780597172	2.80094647267815	5.39320695531092	3.33497499352381	2.2942853525884	4.92421019864039
Li49771-2023084-RT	6.87904179095321	0.80681887457293	3.66533546622788	-1.61107706493211	1.65128387187583	6.33274505581632	-3.80830164226833	3.38538417612678	5.66294038662467
Li49772-023048-RT	6.14340805379662	2.84418129480486	4.08826506588345	-1.63504766782538	1.50766679607726	3.76424561606266	0.667537425168666	4.42271166977589	6.45156771466762
Li49773-2023092-RT	2.77829116490222	-0.44656673164353	4.29488107263711	-3.44229900519752	-0.66971028295774	4.49257256074766	-1.2450744278613	4.07304556598291	6.07721581456854
Li49775-023046-RT	6.89598469091541	3.89918347017251	3.75398626818539	-2.12038250704635	2.32226874944397	3.79743549989334	0.813474362789558	1.47418626759635	4.89155259084546
