feature	Agathobacter	Agathobaculum	Alistipes	Anaerostipes	Bacteroides	Blautia	Collinsella	Coprococcus	Dorea	X.Eubacterium.	Faecalibacterium	Fusicatenibacter	Intestinimonas	Lachnoclostridium	Lachnospira	Lactobacillus	Ligilactobacillus	Mediterraneibacter	Oscillibacter	Prevotella	Roseburia	Ruminococcus
Li49683-2023089-RT	5.00682751742082	1.53582382368623	-3.42000323391503	3.20006997261533	3.881144571941	5.58010981201349	2.97692642130112	5.39358397055501	3.99997668974681	3.57117365320618	6.02856632679341	2.7985968857767	2.89535476760731	3.06463200172022	4.13223405364577	7.03986631204613	5.30257678722616	2.64145368501299	2.53842145911475	-0.124166367910699	4.27757211288731	5.84236016612831
Li49689-023055-RT	3.67448576467428	1.475192934274	4.12790987261784	0.264989580197425	1.25360097365121	4.33080605880499	0.520922954334626	3.8645823434846	2.58410397514268	4.07350220925591	5.29501892140031	0.848135865543041	1.95830897661223	3.24919736789946	5.00210135407326	2.59632408647746	0.177978203207795	3.11280172367479	2.29094243692627	-1.66030128165515	5.23030783849201	6.47646778561069
Li49747-023037-RT	4.14637461832066	0.593410348186524	0.816553899500734	0.377187239716888	1.16877449309009	4.20320150014816	0.827603735687318	2.15738588654387	2.25163842479006	4.18384972948721	5.86040903147713	0.228767234598615	1.55318619200042	3.84561348581272	4.23209239843355	3.82826887756133	1.605011259865	2.23832264881428	3.11913899249478	0.491131499066106	4.35815713856352	5.07437064043788
Li49750-023030-RT	3.83524413452092	2.06576161557078	1.2676795418323	4.01221896026218	1.40651598668652	5.96684376141994	5.02322291639612	3.21783598176907	5.58010521743588	2.08285604893008	6.96894822125324	1.58264557323255	3.83687519017529	2.53192646850935	3.10043120386202	2.68539009918557	1.15520155840561	2.90149865355691	2.46610507355889	1.2676795418323	4.7314187717557	4.71557100521688
Li49757-023003-RT	4.2650671150906	1.41181553011865	2.59459764746495	0.895599057717785	1.392819029428	4.6495447653157	2.26371109975449	3.49159303686128	3.21559919231351	4.31288257713156	5.05243895158306	0.529874278259135	2.78389645398849	1.71748010512087	4.14883278657357	4.31583330219962	2.01501447401566	2.23344103545173	1.89815013387635	-1.07309111966935	4.34056903155739	6.08144862954742
Li49758-023028-RT	4.48235108765318	2.47072922998904	1.83562541907901	1.24934138406143	3.93767904389968	5.1056040440014	0.698694266108767	4.16565012758121	3.68382365219083	4.27152258240259	6.20751310862194	1.0831059650191	2.81268818929526	3.0106106865317	2.47205637019711	5.58256096253132	4.68361915952058	0.642454547785891	3.06410743388568	1.38792754734758	4.61118591170795	4.70588539579728
Li49759-023010-RT	5.16340576238636	1.42775593877066	1.54491103092132	0.37874059124192	1.97519130814921	5.10226712521398	0.762465712713678	4.64255567103882	3.3614856692691	4.47362264339903	6.44839749995279	1.77306712405907	2.66506516336419	2.91728992397924	4.06762004535586	3.14526256079946	4.55039460064603	2.58666045769489	3.00621030568479	0.394740932588361	4.67996818390645	6.31674481173485
Li49760-023041-RT	3.64395393633938	2.21969382981092	1.44882009779527	-2.74838184986654	4.69820324929119	4.26350819384761	0.693637526315873	3.9894743923202	3.46121370673211	3.21391131994116	5.197881793714	0.307975045503889	2.2505181880113	1.91505724424553	3.3292603934825	1.9611483514458	2.60584314861979	3.30370731905788	3.10669007233589	-0.00754182594133646	3.90254382014658	6.15845189931089
Li49762-023034-RT	5.20468419868269	2.29395685971121	0.442299248902083	3.01481723284363	2.33941923378796	5.91467366239418	4.10459386920496	3.58528013081615	5.28151629150932	3.21102248507629	6.7607556089911	3.14125472009841	2.10228944049901	2.9116534856826	3.52488856654934	1.51591023536478	0.536486463961784	2.41432054196108	2.26045618998116	-0.123508509281261	5.08121459573662	3.17714764315902
Li49767-023018-RT	5.69669412143685	3.63813302346104	-1.57951644001955	1.75268807015566	3.31177209644414	6.07611091921178	2.07114180127419	2.89782037445866	5.10992734443548	4.02536608598177	7.58890758885535	1.24631679673905	2.36206536765014	3.56579542406859	5.13115891119309	2.88639167863504	0.147704508070937	3.86614276442642	2.16112494865298	1.06842983701296	5.53545623972654	4.30171462668874
